"LakeID","LocationID","LocationName","County","Y_Coordinate","X_Coordinate","Type","DEC.Region","LocationType","Horz_Method","Horz_Datum","Report_LocationName"
"0402BLAXXX1","0402BLAXXX1_C","Black Creek Centroid","Monroe",43.094545,-77.68003,"River/Stream",8,"River/Stream","Interpolation-Other","NAD83",""
"1104ACK0311","1104ACK0311_C","Ackerman Pond Centroid","Hamilton",43.636101,-74.285698,"Centroid",5,"Lake","Interpolation-Other","NAD83",""
"1104ADI0587A","1104ADI0587A_DH","ADIRONDACK LAKE DEEP HOLE","Hamilton",43.79,-74.2624,"Deep Hole",5,"Lake","GPS - UNSPECIFIED","NAD83",""
"1104ADJ0692A","1104ADJ0692A_C","Adjidaumo Flow Centroid","Essex",43.992901,-74.225899,"Centroid",5,"Lake","Interpolation-Other","NAD83",""
"1301ADO0204B","1301ADO0204B_C","Adolphs Pond Centroid","Orange",41.386101,-73.985298,"Centroid",3,"Lake","Interpolation-Other","NAD83",""
"0601AFT0180","0601AFT0180_C","Afton Lake Centroid","Chenango",42.239201,-75.510696,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0601AFT0180","0601AFT0180_DH","AFTON LAKE DEEP HOLE","Chenango",42.239181,-75.510703,"Deep Hole",7,"Lake","INTERPOLATION-OTHER","NAD83",""
"1701AGA0815","1701AGA0815_C","Agawam Lake Centroid","Suffolk",40.874401,-72.392197,"Centroid",1,"Lake","Interpolation-Other","NAD83",""
"0503AGT5287","0503AGT5287_C","Ag-Tech Lake Centroid","Allegany",42.267201,-77.819702,"Centroid",9,"Lake","Interpolation-Other","NAD83",""
"0503AGT5287","0503AGT5287_DH","AG-TECH LAKE DEEP HOLE","Allegany",42.26727,-77.81937,"Deep Hole",9,"Lake","GPS WIDE AREA AUGMENTATION SYSTEM (WAAS)","NAD83",""
"0603AGW5136","0603AGW5136_C","Agwaterra Pond Centroid","Broome",42.032799,-75.942802,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"1104AIR0254","1104AIR0254_C","Airdwood Lake Centroid","Hamilton",43.444099,-74.452202,"Centroid",5,"Lake","Interpolation-Other","NAD83",""
"1701AIR0743","1701AIR0743_C","Airport Pond Centroid","Suffolk",41.063599,-72.096298,"Centroid",1,"Lake","Interpolation-Other","NAD83",""
"0102AKR0013","0102AKR0013_C","Akron Reservoir Centroid","Wyoming",42.8675,-78.357597,"Centroid",9,"Lake","Interpolation-Other","NAD83",""
"0102AKR0013","0102AKR0013_DH","AKRON RESERVOIR DEEP HOLE","Wyoming",42.868655,-78.35585,"Deep Hole",9,"Lake","GPS WIDE AREA AUGMENTATION SYSTEM (WAAS)","NAD83",""
"1104ALB0138","1104ALB0138_C","Albia Pond Centroid","Saratoga",43.187302,-74.024696,"Centroid",5,"Lake","Interpolation-Other","NAD83",""
"0301ALB0166H","0301ALB0166H_C","Albion Rs No 2 Centroid","Orleans",43.227299,-78.250702,"Centroid",8,"Lake","Interpolation-Other","NAD83",""
"1701ALC0832","1701ALC0832_C","Alcotts Pond Centroid","Suffolk",40.8368,-72.589203,"Centroid",1,"Lake","Interpolation-Other","NAD83",""
"1301ALC0185","1301ALC0185_C","Alcove Reservoir Centroid","Albany",42.476898,-73.937599,"Centroid",4,"Lake","Interpolation-Other","NAD83",""
"0303ALD5064","0303ALD5064_C","Alder Bed Pond Centroid","Oswego",43.66,-75.783401,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"1203ALD0853","1203ALD0853_C","Alder Brook Lake Centroid","Hamilton",43.364101,-74.655998,"Centroid",5,"Lake","Interpolation-Other","NAD83",""
"1403ALD0346","1403ALD0346_C","Alder Lake Centroid","Ulster",42.048401,-74.6763,"Centroid",3,"Lake","Interpolation-Other","NAD83",""
"1403ALD0346","1403ALD0346_DH","ALDER LAKE DEEP HOLE","Ulster",42.04892,-74.67841,"Deep Hole",3,"Lake","GPS WIDE AREA AUGMENTATION SYSTEM (WAAS)","NAD83",""
"0801ALD0935","0801ALD0935_C","Alder Pond Centroid","Oneida",43.435501,-75.212799,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"1104ALD0420","1104ALD0420_C","Alder Pond Centroid","Essex",43.851299,-73.667801,"Centroid",5,"Lake","Interpolation-Other","NAD83",""
"1203ALE0891","1203ALE0891_C","Ale Pond Centroid","Hamilton",43.481998,-74.676399,"Centroid",5,"Lake","Interpolation-Other","NAD83",""
"1303ALE0222D","1303ALE0222D_C","Aleck Meadow Reservoir Centroid","Orange",41.405201,-74.0149,"Centroid",3,"Lake","Interpolation-Other","NAD83",""
"1701ALE0726","1701ALE0726_C","Alewife Pond Centroid","Suffolk",41.032902,-72.230499,"Centroid",1,"Lake","Interpolation-Other","NAD83",""
"0603ALE5275","0603ALE5275_C","Alexander Lake Centroid","Tioga",42.2295,-76.201897,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0801ALE0655","0801ALE0655_C","Alexander Pond Centroid","Lewis",43.717899,-75.561401,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"1003ALF0096","1003ALF0096_C","Alford Pond Centroid","Essex",44.261501,-74.036598,"Centroid",5,"Lake","Interpolation-Other","NAD83",""
"0201ALL5357","0201ALL5357_DH","ALLEGANY RESERVOIR DEEP HOLE","Cattaraugus",42.05595,-78.89069,"Deep Hole",9,"Lake","GPS - UNSPECIFIED","NAD83",""
"0201ALL5357","0201ALL5357_C","Allegheny Reservoir Centroid","Cattaraugus",41.8088,-78.919899,"Centroid",9,"Lake","Interpolation-Other","NAD83",""
"0902ALL5147","0902ALL5147_C","Allen Falls Reservoir Centroid","St Lawrence",44.630402,-74.835098,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0902ALL5147","0902ALL5147_DH","ALLEN FALLS RESERVOIR DEEP HOLE","St Lawrence",44.636104,-74.842569,"Deep Hole",6,"Lake","GPS - UNSPECIFIED","NAD83",""
"0403ALL5341","0403ALL5341_C","Allen Lake Centroid","Allegany",42.385201,-78.066704,"Centroid",9,"Lake","Interpolation-Other","NAD83",""
"0601ALL0405","0601ALL0405_C","Allen Lake Centroid","Otsego",42.829498,-74.951698,"Centroid",4,"Lake","Interpolation-Other","NAD83",""
"0904ALL0343","0904ALL0343_C","Allen Pond Centroid","St Lawrence",44.3438,-74.999603,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0601ALL0194","0601ALL0194_C","Allens Pond Centroid","Otsego",42.564098,-75.305801,"Centroid",4,"Lake","Interpolation-Other","NAD83",""
"1104ALL5380","1104ALL5380_C","Alligator Pond Centroid","Warren",43.678799,-73.827499,"Centroid",5,"Lake","Interpolation-Other","NAD83",""
"0201ALM5535","0201ALM5535_C","Alma Pond Centroid","Allegany",42.014099,-78.001404,"Centroid",9,"Lake","Interpolation-Other","NAD83",""
"0503ALM0029C","0503ALM0029C_C","Almond Reservoir Centroid","Steuben",42.346401,-77.712402,"Centroid",8,"Lake","Interpolation-Other","NAD83",""
"0503ALM0029C","0503ALM0029C_DH","ALMOND RESERVOIR DEEP HOLE","Steuben",42.34816,-77.70724,"Deep Hole",8,"Lake","GPS - UNSPECIFIED","NAD83",""
"1101ALP5136","1101ALP5136_C","Alpine Lake Centroid","Saratoga",43.210999,-73.836098,"Centroid",5,"Lake","Interpolation-Other","NAD83",""
"1311ALT0276B","1311ALT0276B_C","Altamont Reservoir Centroid","Albany",42.685501,-74.074303,"Centroid",4,"Lake","Interpolation-Other","NAD83",""
"0903ALU0315","0903ALU0315_C","Aluminum Pond Centroid","Hamilton",43.768902,-74.526298,"Centroid",5,"Lake","Interpolation-Other","NAD83",""
"1302AMA0050","1302AMA0050_C","Amawalk Reservoir Centroid","Westchester",41.2915,-73.755203,"Centroid",3,"Lake","Interpolation-Other","NAD83",""
"1403AMB0336","1403AMB0336_C","Amber Lake Centroid","Sullivan",41.949501,-74.859398,"Centroid",3,"Lake","Interpolation-Other","NAD83",""
"1401AMB0118","1401AMB0118_C","Amber Lake Centroid","Sullivan",41.688599,-74.848702,"Centroid",3,"Lake","Interpolation-Other","NAD83",""
"0903AMB0041","0903AMB0041_C","Amber Lake Centroid","St Lawrence",44.3992,-74.619698,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"1203AMB0889","1203AMB0889_C","Amber Pond Centroid","Hamilton",43.478802,-74.682999,"Centroid",5,"Lake","Interpolation-Other","NAD83",""
"1301AMB0150M","1301AMB0150M_C","Ambreys Pond Centroid","Rockland",41.248798,-74.014702,"Centroid",3,"Lake","Interpolation-Other","NAD83",""
"1501AMD1017F","1501AMD1017F_C","Amdur Park Lake Centroid","Orange",41.354199,-74.165199,"Centroid",3,"Lake","Interpolation-Other","NAD83",""
"0403AMI0159A","0403AMI0159A_C","Amity Lake Centroid","Allegany",42.219002,-77.989197,"Centroid",9,"Lake","Interpolation-Other","NAD83",""
"1203AMO0907","1203AMO0907_C","Amos Lake Centroid","Hamilton",43.502499,-74.618301,"Centroid",5,"Lake","Interpolation-Other","NAD83",""
"0903AMP0202","0903AMP0202_C","Ampersand Lake Centroid","Franklin",44.2094,-74.194099,"Centroid",5,"Lake","Interpolation-Other","NAD83",""
"1003AMP0131","1003AMP0131_C","Amphitheater Pond Centroid","Franklin",44.308601,-74.367897,"Centroid",5,"Lake","Interpolation-Other","NAD83",""
"1201AMS0546","1201AMS0546_C","Amsterdam Reservoir Centroid","Montgomery",42.951199,-74.182098,"Centroid",4,"Lake","Interpolation-Other","NAD83",""
"1402ANA0041","1402ANA0041_C","Anawana Lake Centroid","Sullivan",41.700298,-74.676002,"Centroid",3,"Lake","Interpolation-Other","NAD83",""
"0403AND0164","0403AND0164_C","Andover Pond Centroid","Allegany",42.1656,-77.793602,"Centroid",9,"Lake","Interpolation-Other","NAD83",""
"0403AND5497","0403AND5497_C","Andover Pond Centroid","Allegany",42.172699,-77.793503,"Centroid",9,"Lake","Interpolation-Other","NAD83",""
"1104AND0376","1104AND0376_C","Andrew Pond Centroid","Warren",43.739899,-73.819099,"Centroid",5,"Lake","Interpolation-Other","NAD83",""
"1201ANN0496","1201ANN0496_C","Ann Lee Pond Centroid","Albany",42.7379,-73.813003,"Centroid",4,"Lake","Interpolation-Other","NAD83",""
"0703ANN5235","0703ANN5235_C","Annsville Pond Centroid","Oneida",43.3461,-75.667198,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0903ANT0126","0903ANT0126_C","Antediluvian Pond Centroid","Hamilton",44.0032,-74.622597,"Centroid",5,"Lake","Interpolation-Other","NAD83",""
"1104ANT5423","1104ANT5423_C","Antler Lake Centroid","Warren",43.654999,-73.930199,"Centroid",5,"Lake","Interpolation-Other","NAD83",""
"0903ARB0011","0903ARB0011_C","Arbuckle Pond Centroid","St Lawrence",44.516102,-74.919899,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"1702ARB1051","1702ARB1051_C","Arbutus Lake Centroid","Richmond",40.522098,-74.177902,"Centroid",2,"Lake","Interpolation-Other","NAD83",""
"1104ARB0684","1104ARB0684_C","Arbutus Pond Centroid","Essex",43.9869,-74.241303,"Centroid",5,"Lake","Interpolation-Other","NAD83",""
"1104ARC0144","1104ARC0144_C","Archer Vly Centroid","Saratoga",43.158299,-73.960899,"Centroid",5,"Lake","Interpolation-Other","NAD83",""
