"LAKE_ID","Y_Coordinate","X_Coordinate","maxdate"
"0101DEL0025",42.932999,-78.8703,2006-09-14
"0101HYDXXX1",43.100662,-79.022324,2006-09-13
"0101JOEXXX1",43.213503,-79.0446,2005-06-09
"0102AKR0013",42.8675,-78.357597,2006-09-14
"0102ATT0020",42.83261,-78.25945,2010-08-04
"0102ATT0020A",42.7859,-78.226601,2005-08-30
"0102DIV0015",43.0411,-78.399399,2010-08-04
"0102FAU0021A",42.645199,-78.287399,2001-09-26
"0102GOU0016E",42.8064,-78.208,2005-07-07
"0102HAR5128",42.905201,-78.430702,2009-07-08
"0103KNOXXX1",42.768771,-78.64171,2005-06-09
"0103KNOXXX2",42.77487,-78.654596,2005-06-09
"0103ORC5454",42.690399,-78.6511,2001-09-26
"0103UWB5320",42.769501,-78.638397,2005-06-09
"0103UWB5321",42.771999,-78.641296,2005-06-09
"0103UWB5338",42.830502,-78.831902,2006-09-14
"0103UWB5480",42.673909,-78.381349,2005-07-08
"0104BEA0133",42.447201,-78.396599,2005-05-18
"0104CLE0100",42.553501,-78.852997,2001-09-27
"0104CRY0147",42.46314,-78.343699,2001-09-26
"0104FRO0128",42.438702,-78.481499,2005-05-18
"0104GRE5309",42.757515,-78.753512,2006-09-14
"0104HIR5501",42.544498,-78.335899,2001-09-26
"0104JAV0152",42.631302,-78.343903,2010-09-19
"0104LIM0130",42.427399,-78.479202,2009-09-02
"0104MOO0146",42.474201,-78.342796,2005-05-18
"0104RAI5630",42.352001,-78.698196,2010-08-04
"0104SKI0141",42.481201,-78.377502,2001-09-26
"0104SUC0132",42.4366,-78.503601,2010-08-03
"0104TIM5635",42.352501,-78.678703,2005-05-18
"0105BRO0160K",42.368099,-79.426102,2006-09-12
"0105BUR0162",42.3638,-79.424797,2005-05-18
"0105FRE0160",42.391998,-79.311096,2006-09-14
"0105SIL0157",42.468498,-79.093399,2001-09-27
"0201ALL5357",42.05595,-78.89069,2007-08-14
"0201CAS0109C",42.324402,-78.440697,2007-10-18
"0201CUB0115",42.253399,-78.292801,2010-09-13
"0201QUA5359",42.043301,-78.867798,2009-07-08
"0201RED0095B",42.102798,-78.744598,2009-07-09
