"LAKE_ID","Y_Coordinate","X_Coordinate","maxdate"
"0101DEL0025",42.932999,-78.8703,2016-09-20
"0101JOEXXX1",43.213503,-79.0446,2015-09-10
"0101OPP5774",43.093601,-78.903702,2016-09-20
"0102AKR0013",42.8675,-78.357597,2016-09-20
"0102ATT0020",42.83261,-78.25945,2011-09-13
"0102ATT0020A",42.7859,-78.226601,2011-09-13
"0102DAN5777",43.062,-78.704598,2015-09-01
"0102DIV0015",43.0411,-78.399399,2011-09-13
"0102LA 5022",43.004299,-78.781197,2016-09-20
"0103UWB5343",42.84717,-78.859325,2016-09-21
"0104CLE0100",42.553501,-78.852997,2011-09-14
"0104CRA5666",42.391998,-78.656601,2015-09-02
"0104CRY0147",42.46314,-78.343699,2016-09-21
"0104HOL5678",42.448502,-78.861603,2015-09-02
"0104JAV0152",42.631302,-78.343903,2017-10-01
"0104LIM0130",42.427399,-78.479202,2017-10-01
"0104RAI5630",42.352001,-78.698196,2011-09-14
"0104TIM5635",42.352501,-78.678703,2011-09-14
"0105BRO0160K",42.368099,-79.426102,2016-09-21
"0105EMU0144",42.4324,-79.098801,2011-08-03
"0105FRE0160",42.391998,-79.311096,2016-09-21
"0105MIN0165A",42.296299,-79.575798,2015-09-02
"0201ALL5357",42.05595,-78.89069,2017-09-12
"0201ALM5535",42.014099,-78.001404,2012-08-29
"0201CAS0109C",42.324402,-78.440697,2012-08-29
"0201CUB0115",42.253399,-78.292801,2017-09-19
"0201HAR0110A",42.382999,-78.380402,2016-07-20
"0201LIN0097A",42.273102,-78.830498,2012-08-29
"0201QUA5359",42.043301,-78.867798,2017-09-11
"0201RED0095B",42.102798,-78.744598,2017-09-11
"0201REDXXX1",42.098318,-78.724061,2016-06-15
"0201SCI0090B",42.011101,-78.766197,2017-09-11
"0201STOXXX1",42.097272,-78.747392,2016-06-15
"0202AIRXXX1",42.147432,-79.685773,2011-07-06
"0202BEA0131",42.346802,-79.383904,2017-09-12
"0202CHA0122",42.156238,-79.393483,2017-09-17
"0202CLY0150",42.0149,-79.626503,2012-09-25
"0202FIN0153",42.101898,-79.726196,2015-09-16
"0202LCA0133",42.345501,-79.317299,2017-09-12
"0202LEOXXX1",42.086201,-79.5447,2011-07-06
"0202MCA0135",42.346699,-79.325798,2017-09-12
"0202NEW5669",42.299801,-78.909699,2012-08-29
"0202UCA0136",42.357399,-79.3256,2017-09-12
"0202UWB5366",42.101998,-78.952645,2011-09-14
"0202UWB5581",42.087299,-79.5261,2012-09-25
"0202UWB5582",42.090599,-79.529404,2011-07-06
"0202UWB5604",42.17538,-79.72377,2011-07-06
"0202WMU0145",42.400501,-79.178299,2012-09-25
"0301BON0190B",43.181599,-78.916702,2015-09-01
"0301BUC0153",43.28151,-77.66383,2016-09-07
"0301CRA0155",43.300499,-77.697304,2016-09-07
"0301GLE0167",43.233398,-78.389099,2016-09-20
"0301JDNXXX1",43.215234,-79.034351,2015-09-10
"0301JDSXXX1",43.213486,-79.034482,2015-09-10
"0301LON0154",43.29287,-77.68576,2017-09-20
"0302BLI0077",43.338299,-76.728302,2016-09-13
"0302DUR0148A",43.233299,-77.557602,2016-09-07
"0302EAS0093",43.2901,-76.891899,2016-09-13
"0302EAS0148E",43.2332,-77.563103,2016-09-07
"0302IRO0113",43.191799,-77.522003,2016-09-08
"0302LAC0132",43.0509,-77.479401,2017-09-05
"0302LSO0076",43.330502,-76.709198,2016-09-13
"0302POR0089",43.2976,-76.8321,2016-09-13
"0302SOD0096",43.248299,-76.958504,2017-09-26
"0302THE0069",43.342718,-76.698318,2016-09-13
"0303FLO1030C",43.72291,-76.19781,2015-07-22
"0303GOO1037B",43.7155,-76.198196,2015-07-22
"0303HYD0391",44.243599,-75.833198,2014-10-14
"0303LAK1031",43.748901,-76.206596,2015-07-22
"0303LIG0018A",43.526501,-75.962303,2015-07-23
"0303LON0049",43.4319,-75.960197,2015-07-23
"0303LOR0009",43.503741,-75.89079,2017-09-11
"0303MOS0031A",43.4664,-76.0037,2016-09-12
"0303NCO1039B",43.707298,-76.198097,2015-08-19
"0303NOR1041",43.64303,-76.18514,2016-09-06
"0303SAL0019A",43.548,-75.894798,2015-07-23
"0303SCO1039A",43.699501,-76.194298,2015-08-19
"0303SIX1030",43.829147,-76.126473,2016-09-06
"0303SOU0001",43.62339,-76.19037,2016-09-06
"0303UWB5011",44.076,-75.989098,2015-07-01
